contig	position	strand	edit	rate
chr5S	100733655	p	0	-1
chr5S	10083447	p	0	-1
chr5S	10121705	p	0	-1
chr5S	101309950	p	0	-1
chr5S	101333050	p	0	-1
chr5S	101333878	p	0	-1
chr5S	101335157	p	0	-1
chr5S	101335238	p	0	-1
chr5S	101335403	p	0	-1
chr5S	101336456	p	0	-1
chr5S	101336943	p	0	-1
chr5S	101337093	p	0	-1
chr5S	103089848	p	0	-1
chr5S	103100951	p	0	-1
chr5S	103102092	p	0	-1
chr5S	103102500	p	0	-1
chr5S	103102570	p	0	-1
chr5S	103102575	p	0	-1
chr5S	103103656	p	0	-1
chr5S	103104251	p	0	-1
chr5S	103104260	p	0	-1
chr5S	103104329	p	0	-1
chr5S	101987603	n	0	-1
chr5S	101987732	n	0	-1
chr5S	101987745	n	0	-1
chr5S	101987754	n	0	-1
chr5S	101987976	n	0	-1
chr5S	101988059	n	0	-1
chr5S	101988637	n	0	-1
chr5S	101990350	n	0	-1
chr5S	101990831	n	0	-1
chr5S	1025051	n	0	-1
chr5S	104581197	p	1	0.391304
chr5S	104581228	p	1	0.125
chr5S	104581285	p	1	0.25
chr5S	104582254	p	1	1
chr5S	104582724	p	1	1
chr5S	106145989	p	1	0.22695
chr5S	106146254	p	1	0.294737
chr5S	106146274	p	1	0.955056
chr5S	106146342	p	1	0.663366
chr5S	106146343	p	1	0.888889
chr5S	106146345	p	1	0.77451
chr5S	106146346	p	1	0.174757
chr5S	106148773	p	1	0.113537
chr5S	106148778	p	1	0.11284
chr5S	106148797	p	1	0.158845
chr5S	106148798	p	1	0.100358
chr5S	106148800	p	1	0.119565
chr5S	106148812	p	1	0.14726
chr5S	106148849	p	1	0.152778
chr5S	106148865	p	1	0.174603
chr5S	106148866	p	1	0.16
chr5S	86996401	p	2	-1
chr5S	92408801	p	2	-1
chr5S	95232564	p	2	-1
chr5S	95558969	p	2	-1
chr5S	101988462	n	2	-1
chr5S	103376351	n	2	-1
chr5S	103376385	n	2	-1
chr5S	103376446	n	2	-1
chr5S	106240538	n	2	-1
chr5S	106240825	n	2	-1
